geneA	geneB	p-Value	Log Odds Ratio	Association
CCND1	STAT2	0.40022652897580996	0.8283219589281978	Tendency towards co-occurrence
CCND1	STAT3	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CCND1	STAT5A	0.7478793964537351	-Infinity	Tendency towards mutual exclusivity
CCND1	STAT5B	0.6457331239764449	-Infinity	Tendency towards mutual exclusivity
CDK4	CDK6	0.6950257288600273	-Infinity	Tendency towards mutual exclusivity
CDK4	CCND2	0.5170090314741965	-Infinity	Tendency towards mutual exclusivity
CDK4	CDKN2A	0.06839963984521337	-0.8805235080155239	Tendency towards mutual exclusivity
CDK4	CDKN2B	0.2293935466924954	-0.5726577833058191	Tendency towards mutual exclusivity
CDK4	MYC	0.1892307473466139	0.8343887116104354	Tendency towards co-occurrence
CDK4	CDKN1A	0.3623124617864718	0.5556396395557832	Tendency towards co-occurrence
CDK4	CDKN1B	0.8045369264882672	-Infinity	Tendency towards mutual exclusivity
CDK4	E2F1	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CDK4	E2F2	0.47981413712356524	-Infinity	Tendency towards mutual exclusivity
CDK4	E2F3	0.5849320021062865	-0.3754492121678987	Tendency towards mutual exclusivity
CDK4	E2F4	0.7478793964537351	-Infinity	Tendency towards mutual exclusivity
CDK4	E2F5	0.6171181639364871	0.1119179162039854	Tendency towards co-occurrence
CDK4	E2F6	0.13474330547504182	2.6390573296152584	Tendency towards co-occurrence
CDK4	E2F7	0.19998341851869122	1.0492664145649548	Tendency towards co-occurrence
CDK4	E2F8	0.3289317471344307	-Infinity	Tendency towards mutual exclusivity
CDK4	SRC	0.6457331239764449	-Infinity	Tendency towards mutual exclusivity
CDK4	JAK1	0.4451705171145401	-Infinity	Tendency towards mutual exclusivity
CDK4	JAK2	0.10479086639784445	1.1597311037241553	Tendency towards co-occurrence
CDK4	STAT1	0.25212060354620275	1.5328978353117662	Tendency towards co-occurrence
CDK4	STAT2	0.008516967747194308	2.4512586156697678	Tendency towards co-occurrence(Significant)
CDK4	STAT3	0.520185862876625	0.4112960284189576	Tendency towards co-occurrence
CDK4	STAT5A	0.7478793964537351	-Infinity	Tendency towards mutual exclusivity
CDK4	STAT5B	0.6457331239764449	-Infinity	Tendency towards mutual exclusivity
CDK6	CCND2	0.14823588686409822	2.1473922035883435	Tendency towards co-occurrence
CDK6	CDKN2A	0.6267025794173265	-0.13431233760759406	Tendency towards mutual exclusivity
